SUBSTÂNCIA,EAN 3,APRESENTAÇÃO,CLASSE TERAPÊUTICA,DESTINAÇÃO COMERCIAL 
CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO,    -     ,4 MG/ML SOL OR CX 200 FRAS PLAS OPC GOT X 10 ML,A4A9 - OUTROS ANTIEMÉTICOS E ANTINAUSEANTES,
CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO,    -     ,10 MG COM CT BL AL PLAS TRANS X 20,A3F - GASTROPROCINÉTICOS,
CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO;DIMETICONA;PEPSINA,    -     ,7 MG + 40 MG + 50 MG CAP DURA CT BL AL PLAS TRANS X 30 ,"A9A - DIGESTIVOS, INCLUINDO ENZIMAS DIGESTIVAS",
CLORIDRATO DE MIDAZOLAM,    -     ,1 MG/ML SOL INJ IM/IV/RET CX 50 AMP VD TRANS X 5 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML SOL INJ IM/IV/RET CX 50 AMP VD TRANS X 3 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML SOL INJ IM/IV/RET CX 50 AMP VD TRANS X 10 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,2 MG/ML SOL OR CX 12 FR VD AMB X 10 ML + 12 COP,N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML SOL INJ IV/IM/RET CX 50 AMP VD AMB X 3 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,1 MG/ML SOL INJ IV/IM/RET CX 50 AMP VD AMB X 5 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML SOL INJ IV/IM/RET CX 50 AMP VD AMB X 10 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 3 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,1 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 5 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIDAZOLAM,    -     ,5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 10 ML,N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,
CLORIDRATO DE MIGALASTATE,    -     ,123 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 14,A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO,
CLORIDRATO DE MINOCICLINA,    -     ,100 MG COM REV CT BL AL PLAS OPC X 30,J1A - TETRACICLINAS E ASSOCIAÇÕES,
CLORIDRATO DE MITOXANTRONA,    -     ,2 MG/ML SOL INJ CT FA VD AMB X 10 ML,L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"1,60 MG/ML SOL INFUS IV CX 10 ENVOL BOLS PLAS PP TRANS SIST FECH X 250ML",J1G2 - FLUORQUINOLONAS INJETÁVEIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML,S1A - ANTIINFECCIOS OFTALMOLÓGICOS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"1,6 MG/ML SOL INFUS IV CX BOLS PLAS PP TRANS SIST FECH X 250 ML",J1G2 - FLUORQUINOLONAS INJETÁVEIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"1,6 MG/ML SOL INFUS IV CX 10 BOLS PLAS PP TRANS SIST FECH X 250 ML",J1G2 - FLUORQUINOLONAS INJETÁVEIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"1,6 MG/ML SOL INFUS IV CX FA PLAS PE TRANS SIST FECH X 250 ML",J1G2 - FLUORQUINOLONAS INJETÁVEIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"400 MG COM REV CT BL AL AL X 5 

",J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 10,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 70 (EMB FRAC),J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 100 (EMB FRAC),J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 100,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 300,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL PLAS  PVC/PCTFE TRANS X 500,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 10,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 70 (EMB FRAC),J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 100 (EMB FRAC),J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 100,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 300,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 500,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"5,0 MG/ML SOL OFT CT FR GOT PLAS PE OPC X 5 ML",S1A - ANTIINFECCIOS OFTALMOLÓGICOS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,"5,0 MG/ML SOL OFT CT FR GOT PLAS PE OPC X 5 ML",S1A - ANTIINFECCIOS OFTALMOLÓGICOS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 5,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO,    -     ,400 MG COM REV CT BL AL AL X 7,J1G1 - FLUORQUINOLONAS ORAIS,
CLORIDRATO DE MOXIFLOXACINO MONOIDRATADO,    -     ,"1,6 MG/ML SOL INFUS IV CX 5 FA PLAS PE TRANS SIST FECH X 250 ML",J1G2 - FLUORQUINOLONAS INJETÁVEIS,
CLORIDRATO DE MOXIFLOXACINO MONOIDRATADO,    -     ,5 MG/ML SOL GOT OFT CT FR GOT PLAS PEAD/PEBD OPC X 5 ML,S1A - ANTIINFECCIOS OFTALMOLÓGICOS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,12 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR GOT PLAS TRANSL X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,50 MG/ML SOL NASAL CT FR PLAS INC GOTEJADOR X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CX 12 FR PLAS TRANS GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CX 48 FR PLAS TRANS GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CX 200 FR PLAS TRANS GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR GOT PLAS TRANS X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS OPC CGT X 10 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR GOT PLAS PE OPC X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR GOT PLAS TRANSL X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR GOT PLAS PEAD/PEBD TRANSL X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML ",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA,    -     ,"0,5 MG/ML SOL NAS CT FR PLAS  TRANS GOT X 30 ML",R1A7 - DESCONGESTIONANTES NASAIS,
CLORIDRATO DE NAFAZOLINA;DEXPANTENOL;MALEATO DE MEPIRAMINA,    -     ,"(1 + 0,2 +5) MG/ML SOL NAS CT FR GOT PLAS PEAD/PEBD OPC  X 15 ML",R1A9 - OUTRAS PREPARAÇÕES TÓPICAS NASAIS,
CLORIDRATO DE NAFAZOLINA;DEXPANTENOL;MALEATO DE MEPIRAMINA,    -     ,"(0,5 + 0,2 +5) MG/ML SOL NAS CT FR GOT PLAS PEAD/PEBD OPC  X 15 ML ",R1A9 - OUTRAS PREPARAÇÕES TÓPICAS NASAIS,
CLORIDRATO DE NAFAZOLINA;DEXPANTENOL;MALEATO DE MEPIRAMINA,    -     ,"(1 + 0,2 + 5) MG/ML SOL NAS CT FR PLAS OPC X 30 ML ",R1A9 - OUTRAS PREPARAÇÕES TÓPICAS NASAIS,
CLORIDRATO DE NAFAZOLINA;FOSFATO DISSÓDICO DE DEXAMETASONA;SULFATO DE NEOMICINA,    -     ,"0,75 MG/ML + 0,5 MG/ML + 5 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 20 ML",R1A3 - CORTICOSTERÓIDES NASAIS COM ANTI-INFECCIOSOS,
CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA,    -     ,"0,25 MG/ML + 3,0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 15 ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA,    -     ,"0,25 MG/ML + 3 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML","S1G1 - ANTIALÉRGICOS OFTAMOLÓGICOS, ANTI-HISTAMÍNICOS",
CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA,    -     ,"0,25 MG/ML + 3 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML","S1G1 - ANTIALÉRGICOS OFTAMOLÓGICOS, ANTI-HISTAMÍNICOS",
CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA,    -     ,"0,25 MG/ ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML ","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO,    -     ,"0,15MG/ML + 0,3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO,    -     ,"(0,30 + 0,15) MG/ML SOL OFT CT FR GOT PLAS OPCX 20 ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO HEPTAIDRATADO,    -     ,"0,15MG/ML + 0,30MG/ML SOL OFT CT FR PLAS X 20ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO HEPTAIDRATADO,    -     ,"0,15 MG/ML + 0,3 MG/ML SOL OFT CT FR CGT PLAS TRANS X 20 ML","S1G5 - DESCONGESTIONANTES OFTALMOLÓGICOS, SIMPATICOMIMÉTICOS",
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ  IM/SC/IV CX 10 AMP VD AMB X 1 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ  IM/SC/IV CX 25 AMP VD AMB X 1 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX AMP VD AMB X 1ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX 50 AMP VD AMB X 1ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CT 10 AMP VD AMB X 1 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX 25 AMP VD AMB X 1 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX 25 AMP VD AMB X 2 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX 50 AMP VD AMB X 1 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALBUFINA,    -     ,10 MG/ML SOL INJ IM/IV/SC CX 50 AMP VD AMB X 2 ML,N2A - ANALGÉSICOS NARCÓTICOS,
CLORIDRATO DE NALOXONA,    -     ,"0,4 MG/ML  SOL INJ IM/SC/IV CX 10 AMP VD TRANS X 1 ML",N7F - PRODUTOS USADOS EM DEPENDÊNCIA OPIÁCEAS,
CLORIDRATO DE NALOXONA,    -     ,"0,4 MG/ML SOL INJ IM/SC/IV  CX 25 AMP VD TRANS X 1 ML",N7F - PRODUTOS USADOS EM DEPENDÊNCIA OPIÁCEAS,
CLORIDRATO DE NALOXONA,    -     ,"0,4 MG/ ML SOL INJ CX 10 AMP VD AMB X 1 ML",N7F - PRODUTOS USADOS EM DEPENDÊNCIA OPIÁCEAS,
CLORIDRATO DE NALOXONA,    -     ,"0,4 MG/ ML SOL INJ CX 25 AMP VD AMB X 1 ML",N7F - PRODUTOS USADOS EM DEPENDÊNCIA OPIÁCEAS,
CLORIDRATO DE NALOXONA,    -     ,"0,4 MG/ ML SOL INJ CX 50 AMP VD AMB X 1 ML",N7F - PRODUTOS USADOS EM DEPENDÊNCIA OPIÁCEAS,
CLORIDRATO DE NALTREXONA,    -     ,50 MG COM REV CT FR PLAS OPC X 30,N7E - PRODUTOS USADOS EM DEPENDÊNCIA ALCOÓLICA,
CLORIDRATO DE NALTREXONA,    -     ,50 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 20,N7E - PRODUTOS USADOS EM DEPENDÊNCIA ALCOÓLICA,
CLORIDRATO DE NALTREXONA,    -     ,50 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,N7E - PRODUTOS USADOS EM DEPENDÊNCIA ALCOÓLICA,
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 70,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 120,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 70,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 120,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 70,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NALTREXONA DI-HIDRATADO;CLORIDRATO DE BUPROPIONA,    -     ,(90 + 8) MG COM REV LIB PROL CT BL AL AL X 120,"A8A - PREPARAÇÕES ANTIOBESIDADE, EXCETO OS DIETÉTICOS",
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL / AL X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 8",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 2",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 12",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 8",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 2",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 12",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 8",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 2",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 12",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 2",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 12",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 8",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 2",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 12",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 20",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 8",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
CLORIDRATO DE NARATRIPTANA,    -     ,"2,5 MG COM CT BL AL PLAS PVC/PVDC OPC X 4",N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS,
