ALBENDAZOL;-;P1B - ANTI-HELMÍNTICOS EXCETO ESQUISTOSSOMICIDAS (P1C)
ALBUMINA HUMANA;-;K3B3 - SOLUÇÕES DE PROTEINAS >5%
ALCAFTADINA;-;S1G1 - ANTIALÉRGICOS OFTAMOLÓGICOS, ANTI-HISTAMÍNICOS
ALENDRONATO DE SÓDIO;-;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS
ALENDRONATO DE SÓDIO TRI-HIDRATADO;-;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS
"ALENDRONATO DE SÓDIO;COLECALCIFEROL";-;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS
ALENDRONATO SÓDICO TRIHIDRATADO;-;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS
ALENTUZUMABE;-;N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA
ALFA-ALBUTREPENONACOGUE;-;B2D2 - FATORES II VII IX X
ALFA-ALGLICOSIDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFA-ASFOTASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFA-AVALGLICOSIDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFA1ANTITRIPSINA;-;R3X2 - TODOS OS OUTROS PRODUTOS ANTI-ASMÁTICOS e DPOC, SISTÊMICOS
ALFACALCIDOL;-;A11C2 - VITAMINA D PURA
ALFACERLIPONASE;-;N7X - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL
"ALFACINAXADANTASE;ALFA-APADANTASE";-;B1X - OUTROS AGENTES ANTITROMBÓTICOS
ALFACORIFOLITROPINA;-;G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO
ALFACORIOGONADOTROPINA;-;G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO
ALFADAMOCTOCOGUE PEGOL;-;B2D1 - FATOR VIII
ALFADARBEPOETINA;-;B3X - OUTROS PRODUTOS ANTIANÊMICOS, INCLUINDO ÁCIDO FÓLICO, ÁCIDO FOLÍNICO
ALFADORNASE;-;R5C - EXPECTORANTES
ALFAEFBEMALENOGRASTIM;-;L3A1 - FATORES ESTIMULANTES DE COLÔNIAS
ALFAELOSULFASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
ALFAEPOETINA;-;B3C - ERITROPOIETÍNAS
ALFAEPTACOGUE ATIVADO;-;B2D3 - PRODUTOS ANTI-INIBIDORES DA HEMOFILIA
